@relation 'ISBSG10_952Instances-weka.filters.unsupervised.attribute.Remove-R9,29-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,4-weka.filters.unsupervised.attribute.Remove-R2,4,7,9,12,14-15,18,20-24,26-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3'

@attribute FunctionalSize numeric
@attribute ValueAdjustmentFactor numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute BusinessAreaType {Banking,Telecommunications}
@attribute ClientServer {Yes,No}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute FirstOS {Unix,Mainframe,Windows}
@attribute MaxTeamSize numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
202,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1846
198,1,4,New_Development,?,?,?,3GL,?,3,1085
352,1,8,Enhancement,?,?,?,?,?,15,1500
465,?,6,Enhancement,Telecommunications,?,?,4GL,?,1,1070
238,1.3,?,Enhancement,?,?,MF,3GL,Mainframe,?,1650
220,1,1,Enhancement,?,?,?,?,?,6,1104
11,?,8.81,Enhancement,?,Yes,?,?,?,?,200
19,?,?,Enhancement,?,?,MF,3GL,?,?,136
201,1.01,5,Enhancement,Telecommunications,?,?,4GL,?,5,1520
107,?,3,Enhancement,?,Yes,Multi,4GL,Windows,?,975
146,?,8.3,New_Development,?,No,MF,3GL,Mainframe,2,2604
11,?,0.1,Enhancement,?,?,MF,3GL,Mainframe,?,145
30,?,4,Enhancement,?,?,MF,3GL,Mainframe,?,822
111,1.12,8,Enhancement,Telecommunications,?,?,?,?,7,1982
34,?,?,Enhancement,?,?,MF,3GL,?,?,1012
80,1.17,2.83,Enhancement,?,Yes,?,4GL,?,?,2506
116,?,3.8,Enhancement,?,Yes,Multi,3GL,Windows,?,1512
16,?,?,Enhancement,?,?,MF,3GL,?,?,521
57,1.04,8,Enhancement,Telecommunications,?,?,4GL,?,3,804
357,1.18,?,Enhancement,?,?,?,3GL,?,?,4350
39,?,?,Enhancement,?,?,MF,3GL,?,?,429
258,1,3,New_Development,?,?,?,?,?,3,1381
1233,1,9,Enhancement,?,?,?,?,?,32,20041
322,1.08,3,Enhancement,Telecommunications,?,MR,4GL,Unix,5,973
14,?,0.9,Enhancement,?,?,MF,3GL,Mainframe,?,179
173,?,3,Enhancement,Telecommunications,?,MR,4GL,Unix,10,2890
204,1.01,5,Enhancement,Telecommunications,?,PC,4GL,Windows,?,246
426,?,2.2,New_Development,?,?,MR,4GL,Mainframe,?,2110
295,1.11,15,Enhancement,Telecommunications,?,?,?,?,8,4754
103,1.12,?,Enhancement,?,?,MF,4GL,Unix,?,673
556,1.11,7,Enhancement,Telecommunications,Yes,MR,3GL,Unix,10,3793
17,?,?,Enhancement,?,?,MF,3GL,?,?,238
51,1.03,2,Enhancement,Telecommunications,?,?,4GL,?,9,1636
583,1,4,Enhancement,?,?,?,?,?,4,476
578,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,2022
14,?,?,Enhancement,?,?,?,3GL,?,?,2527
292,1,20,New_Development,?,?,?,4GL,?,4,6680
142,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,7527
1307,?,5,Enhancement,?,?,MR,3GL,Unix,?,6600
354,1,6,New_Development,?,?,?,3GL,?,10,5863
500,0.93,13,Enhancement,Telecommunications,Yes,PC,4GL,Windows,?,4054
1444,?,11,New_Development,?,Yes,Multi,4GL,Windows,?,6129
641,1,3,Enhancement,?,?,?,?,?,2,508
393,1,10,Enhancement,?,?,?,?,?,12,6660
7,0.95,?,Enhancement,?,?,?,3GL,?,?,1818
445,1,8,New_Development,Banking,?,MF,3GL,Mainframe,8,8499
221,1,3,Enhancement,?,?,?,?,?,3,624
981,?,6,Enhancement,?,Yes,Multi,3GL,Windows,?,25837
1606,1,7,Enhancement,?,?,?,?,?,32,17230
25,1,0.5,New_Development,?,?,?,3GL,?,1,97
118,1,21,New_Development,?,?,?,3GL,?,6,9021
56,?,?,Enhancement,?,Yes,Multi,4GL,?,?,997
97,?,?,Enhancement,?,?,MF,3GL,?,?,2450
295,1.19,?,Enhancement,?,?,MF,3GL,Mainframe,?,1775
65,1,?,Enhancement,?,?,MF,?,Unix,?,618
51,0.95,?,Enhancement,?,?,?,3GL,?,?,727
158,1.01,2,Enhancement,Telecommunications,?,PC,4GL,Windows,?,476
80,1.09,?,Enhancement,?,?,MF,3GL,Unix,?,4281
84,?,?,Enhancement,?,?,MF,3GL,?,?,899
33,?,?,Enhancement,?,?,MF,3GL,?,?,583
1433,1,5,New_Development,?,?,?,?,?,13,3838
79,1.17,3.12,Enhancement,?,Yes,?,4GL,?,?,1585
38,1.27,4.57,Enhancement,?,Yes,?,3GL,?,?,570
54,1.14,2.17,Enhancement,?,Yes,?,?,?,?,129
170,1,5,New_Development,?,?,?,3GL,?,3,1148
355,1.03,10,Enhancement,Telecommunications,?,MR,4GL,Unix,20,10205
227,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,2700
3354,1,13,New_Development,?,?,?,3GL,?,16,31632
338,1,8,Enhancement,?,?,?,?,?,10,10003
194,1,5,New_Development,?,?,?,?,?,4,1953
51,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,966
59,1.07,3,Enhancement,Telecommunications,?,MR,3GL,Unix,6,937
88,1.07,?,Enhancement,?,?,?,3GL,?,?,5242
1824,1,9,Enhancement,?,?,?,?,?,5,3210
293,?,?,Enhancement,?,Yes,Multi,3GL,?,?,5856
55,?,?,Enhancement,?,?,MF,4GL,?,?,869
103,1.03,?,Enhancement,?,?,MF,4GL,Unix,?,1920
130,1.17,?,Enhancement,?,?,?,?,?,?,1122
394,1.02,4.01,Enhancement,?,Yes,?,?,?,?,2756
321,1.03,?,New_Development,?,?,?,4GL,?,?,2312
2929,1,15,New_Development,?,?,?,?,?,12,7980
89,1.05,?,Enhancement,?,?,MF,3GL,Unix,?,983
32,?,?,Enhancement,?,?,MF,3GL,?,?,781
20,?,?,Enhancement,?,Yes,Multi,3GL,?,?,515
74,?,?,Enhancement,?,?,MF,3GL,?,?,1293
39,1,2,Enhancement,?,?,?,?,?,3,823
9,1,7,Enhancement,?,?,?,3GL,?,?,2947
270,1,5,Enhancement,?,?,?,?,?,5,1120
63,1.12,5.26,Enhancement,?,Yes,?,4GL,?,?,865
670,0.97,17.2,Enhancement,?,No,MF,3GL,?,20,20960
175,1,8,New_Development,?,?,?,?,?,4,1115
343,1.07,?,Enhancement,?,?,?,3GL,?,?,8374
38,1.16,?,Enhancement,?,?,?,3GL,?,?,944
146,1.07,4,Enhancement,Telecommunications,Yes,MR,3GL,Unix,6,2458
222,?,?,Enhancement,?,?,MF,3GL,?,?,1487
26,1,1,Enhancement,?,?,?,?,?,2,184
75,1.01,8,Enhancement,Telecommunications,?,?,4GL,?,16,4430
335,1,3,Enhancement,?,?,?,3GL,?,2,671
153,1.12,9.8,Enhancement,?,No,MF,3GL,?,1.65,2807
102,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,2258
81,1.21,2.89,Enhancement,?,Yes,?,4GL,?,?,668
127,1.07,2,Enhancement,Telecommunications,?,?,3GL,?,1,687
78,1,4,Enhancement,Banking,No,MF,3GL,Mainframe,?,1084
129,1.12,3.35,Enhancement,?,Yes,?,4GL,?,?,1206
14,1.15,0.99,Enhancement,?,Yes,?,?,?,?,214
92,?,?,Enhancement,?,Yes,Multi,3GL,?,?,930
266,1,4,Enhancement,?,?,?,?,?,1,699
175,1,6,Enhancement,?,?,?,?,?,2,636
80,1.02,?,Enhancement,?,?,MF,?,Unix,?,514
15,?,?,Enhancement,?,Yes,Multi,4GL,?,?,210
134,1,8,New_Development,Telecommunications,?,?,4GL,?,1,286
69,1.09,5,Enhancement,Telecommunications,?,?,3GL,?,2,304
81,1.09,7,Enhancement,Telecommunications,?,?,3GL,?,2,129
38,0.95,4.2,Enhancement,?,No,MF,3GL,?,2,1206
459,1,5,Enhancement,?,?,?,3GL,?,5,2705
99,0.78,?,New_Development,Banking,?,MF,3GL,Mainframe,?,1099
495,1,6,New_Development,?,?,?,?,?,4,1486
120,?,3,Enhancement,?,?,MF,3GL,Windows,?,3080
192,?,3,New_Development,?,?,MF,3GL,Mainframe,?,4386
9,1.01,0.33,Enhancement,?,Yes,?,?,?,?,27
539,?,4.7,New_Development,?,Yes,Multi,3GL,Windows,?,5975
301,1.12,4,Enhancement,Telecommunications,?,?,?,?,13,4581
118,1,8,New_Development,?,?,?,3GL,?,6,3190
24,?,2.6,Enhancement,?,?,MF,3GL,Mainframe,?,480
28,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,21
89,0.92,2.96,Enhancement,?,?,?,?,?,?,1477
57,1,?,Enhancement,Banking,No,MF,3GL,Mainframe,?,1179
1753,?,3,Enhancement,?,?,PC,3GL,Windows,18,7368
313,0.92,5,Enhancement,Telecommunications,?,MR,4GL,Unix,6,2963
208,?,?,Enhancement,?,?,MF,3GL,?,?,1284
191,1.17,?,Enhancement,?,?,?,?,?,?,818
271,?,?,Enhancement,?,?,MF,3GL,?,?,3303
98,1.03,?,Enhancement,?,?,MF,4GL,Unix,?,1308
35,1.1,5.33,Enhancement,?,Yes,?,4GL,?,?,241
695,1,11,Enhancement,?,?,?,?,?,6,9928
14,?,?,Enhancement,?,Yes,Multi,3GL,?,?,434
71,0.85,1,New_Development,Telecommunications,?,PC,4GL,?,?,164
70,?,?,Enhancement,?,?,MF,3GL,?,?,674
190,1.2,?,Enhancement,?,?,MF,3GL,Unix,?,2199
149,1.22,12,Enhancement,Telecommunications,?,?,?,?,11,5495
169,1,6,New_Development,Telecommunications,?,?,4GL,?,2,580
1338,1.01,8,Enhancement,Telecommunications,?,?,4GL,?,10,3189
46,?,2.4,Enhancement,?,?,MF,3GL,Mainframe,?,640
89,1.03,9,Enhancement,Telecommunications,?,?,?,?,7,2601
171,?,?,Enhancement,?,Yes,Multi,4GL,?,?,3861
192,1.11,0.99,Enhancement,?,Yes,?,?,?,?,1245
207,?,3,Enhancement,?,Yes,Multi,4GL,Windows,2,798
18,?,0.9,Enhancement,?,?,MF,3GL,Mainframe,?,145
188,1.06,8,Enhancement,Telecommunications,?,?,4GL,?,5,1136
468,?,10,Enhancement,Telecommunications,?,?,3GL,?,28,10498
372,?,?,Enhancement,?,Yes,Multi,3GL,?,?,8604
224,1,6,New_Development,?,?,?,3GL,?,?,2444
77,1.3,?,Enhancement,?,?,MF,3GL,Mainframe,?,252
88,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,805
1236,?,16.9,New_Development,?,?,PC,4GL,Windows,?,2504
51,?,?,Enhancement,?,Yes,Multi,3GL,?,?,412
644,1.04,6,Enhancement,Telecommunications,?,MR,4GL,Unix,16,6936
676,1,9,New_Development,?,?,?,?,?,8,4731
9,?,1.48,Enhancement,?,?,?,?,?,?,240
46,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1389
39,1,1.38,Enhancement,?,Yes,?,?,?,?,564
3,1.02,2.73,Enhancement,?,?,?,?,?,?,28
143,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1762
551,1,10,New_Development,?,?,?,3GL,?,17,16380
38,?,3.9,Enhancement,?,?,MF,3GL,Mainframe,?,429
75,1.02,4.3,Enhancement,?,No,MF,3GL,?,2.1,2130
1494,?,20,Enhancement,Telecommunications,?,?,4GL,?,27,20396
454,1,?,New_Development,?,?,?,?,?,?,327
76,0.9,1.38,Enhancement,?,?,?,?,?,?,37
413,?,3,Enhancement,?,?,MF,3GL,Unix,?,2982
101,1.11,?,Enhancement,?,?,MF,4GL,Unix,?,398
72,0.85,4,New_Development,Telecommunications,?,MR,4GL,Unix,2,417
508,1,14,Enhancement,?,?,?,?,?,6,2377
123,1,3,New_Development,?,?,?,?,?,3,337
227,0.96,4,New_Development,Telecommunications,?,PC,4GL,?,18,5532
59,1.12,2,Enhancement,Telecommunications,?,MR,3GL,Unix,?,296
58,1.17,6,Enhancement,Telecommunications,?,?,?,?,7,1668
134,?,4,Enhancement,Telecommunications,?,?,4GL,?,12,3899
1827,?,3,Enhancement,?,?,MR,3GL,Unix,?,2258
84,1.16,?,Enhancement,?,?,MF,3GL,Unix,?,1034
83,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1151
426,1,6,New_Development,?,?,?,?,?,4,2622
5,1.28,0.3,Enhancement,?,?,?,?,?,?,34
262,?,10,Enhancement,?,?,MF,3GL,Mainframe,?,4253
43,1.19,?,Enhancement,?,?,MF,4GL,Unix,?,128
48,?,?,Enhancement,?,?,MF,4GL,?,?,1781
915,1,4,Enhancement,?,?,?,?,?,4,1392
113,1,2,Enhancement,?,?,?,?,?,3,196
149,1,5,New_Development,?,?,?,?,?,3,518
99,?,?,Enhancement,?,Yes,Multi,3GL,?,?,3494
601,1,16,New_Development,?,?,?,?,?,?,10866
826,?,9,Enhancement,?,?,MF,3GL,?,7,6418
89,1.12,?,Enhancement,?,?,MF,4GL,Unix,?,2823
219,0.95,?,Enhancement,?,?,?,3GL,?,?,5317
59,1.13,1.91,Enhancement,?,Yes,?,3GL,?,?,1008
153,1.01,5.85,New_Development,?,?,?,?,?,?,1840
187,1,2,Enhancement,?,?,?,?,?,2,343
14,?,4.54,Enhancement,?,Yes,?,?,?,?,160
216,1.04,4,Enhancement,Telecommunications,?,?,4GL,?,14,3613
747,?,5.5,New_Development,?,Yes,Multi,3GL,Windows,?,6767
73,?,?,Enhancement,?,Yes,Multi,4GL,?,?,672
693,1,20,New_Development,?,?,?,4GL,?,9,12510
151,?,8,Enhancement,Telecommunications,?,MR,?,Unix,5,1586
57,?,3,New_Development,?,?,MF,3GL,Windows,?,1505
1265,?,9,New_Development,?,Yes,Multi,4GL,Windows,?,10770
57,1.02,2,Enhancement,Telecommunications,?,MR,4GL,Unix,2,26
56,?,1.9,Enhancement,?,?,MF,3GL,Mainframe,?,568
53,1.06,2,Enhancement,Telecommunications,?,MF,4GL,Mainframe,?,540
291,1,7,New_Development,?,?,?,?,?,9,1827
510,1,?,Enhancement,?,?,?,?,?,8,1624
257,0.95,3,New_Development,Telecommunications,?,PC,4GL,Unix,2,906
222,?,8,Enhancement,Telecommunications,?,MR,4GL,Unix,6,2007
29,?,?,Enhancement,?,?,MF,3GL,?,?,553
4911,?,19,New_Development,Telecommunications,?,MR,?,Unix,?,71118
30,?,?,Enhancement,?,?,MF,3GL,Mainframe,?,1037
52,1,?,Enhancement,?,?,?,3GL,?,?,361
2221,1.07,24,New_Development,Telecommunications,?,MR,4GL,Unix,17,25482
184,?,?,Enhancement,?,?,MF,3GL,?,?,1324
7,1.08,6.51,Enhancement,?,?,?,4GL,?,?,45
57,?,?,Enhancement,?,Yes,Multi,3GL,?,?,727
178,1,7,Enhancement,?,?,?,?,?,5,2865
10,?,13,Enhancement,?,?,MF,3GL,Mainframe,?,3871
96,0.94,2,Enhancement,Telecommunications,?,PC,3GL,Mainframe,2,494
6,1.08,5.26,Enhancement,?,Yes,?,4GL,?,?,734
70,?,?,Enhancement,?,Yes,Multi,3GL,?,?,444
43,1.14,3.42,Enhancement,?,Yes,?,?,?,?,286
1163,1,10,Enhancement,?,?,?,3GL,?,10,9786
177,0.99,6,New_Development,?,?,PC,3GL,Windows,7,1946
24,1,3,Enhancement,?,?,?,?,?,4,708
490,1,5,New_Development,?,?,?,?,?,?,4672
270,0.85,10,Enhancement,Telecommunications,?,?,4GL,Mainframe,3,1451
222,1.09,2,Enhancement,Telecommunications,?,?,3GL,?,3,310
103,1.03,2,Enhancement,Telecommunications,?,MR,4GL,Unix,?,2946
2777,1.06,24,New_Development,Banking,?,MF,3GL,Mainframe,8,21625
187,1.19,2.89,Enhancement,?,?,?,3GL,?,?,654
228,?,3,Enhancement,?,Yes,Multi,4GL,Windows,4,1465
339,1.17,6,Enhancement,?,?,MF,3GL,Mainframe,43,8650
242,?,3,New_Development,?,?,MF,3GL,Mainframe,?,7710
133,1.07,?,Enhancement,?,?,?,3GL,?,?,8480
82,1,?,New_Development,Banking,?,MF,3GL,Mainframe,?,606
144,?,?,Enhancement,?,?,MF,4GL,?,?,1346
3,1.17,3.42,Enhancement,?,Yes,?,3GL,?,?,23
366,1.02,?,Enhancement,?,?,?,3GL,?,?,7359
403,1,24,New_Development,?,?,?,?,?,8,7500
49,1.12,4,Enhancement,Telecommunications,?,?,?,?,2,966
138,1.02,2,Enhancement,Telecommunications,?,?,4GL,?,5,1499
632,0.95,?,New_Development,?,Yes,?,3GL,?,?,7252
201,0.93,6,New_Development,Telecommunications,No,PC,4GL,Windows,1,562
338,1,5,Enhancement,?,?,?,?,?,1,973
83,1.2,?,Enhancement,?,?,MF,3GL,Unix,?,1145
113,?,?,Enhancement,?,?,MF,3GL,?,?,1192
115,1.08,3,Enhancement,Telecommunications,Yes,MR,4GL,Unix,9,2802
763,0.94,5,Enhancement,Telecommunications,?,?,3GL,?,8,4272
322,1,2,Enhancement,?,?,?,?,?,6,835
1278,1.14,?,Enhancement,?,?,MF,3GL,Unix,?,28441
203,?,3,Enhancement,?,?,MF,3GL,Unix,14,5754
246,1,4,New_Development,?,?,?,?,?,3,960
116,1,5,New_Development,Banking,?,MF,3GL,Mainframe,5,2180
145,1.17,?,Enhancement,?,?,?,?,?,?,1594
2000,1,15,New_Development,?,?,?,?,?,?,29600
114,1,3,Enhancement,?,?,?,4GL,?,2,678
73,1,8,Enhancement,Banking,No,MF,3GL,Mainframe,?,1404
43,1.02,?,Enhancement,?,?,?,3GL,?,?,3890
144,1,3,Enhancement,?,?,?,3GL,?,4,426
1122,1,?,New_Development,?,?,?,?,?,?,1208
43,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1042
49,?,2,Enhancement,?,No,MF,4GL,Unix,?,500
126,1,3,Enhancement,?,?,?,?,?,5,1237
199,1.22,?,Enhancement,?,?,?,3GL,?,?,5682
79,0.94,?,Enhancement,?,?,?,3GL,?,?,2356
100,?,?,Enhancement,?,?,MF,4GL,?,?,1255
88,1.05,3.09,Enhancement,?,Yes,?,3GL,?,?,1092
19,?,1.9,Enhancement,?,?,MR,3GL,Unix,?,155
262,1.02,?,Enhancement,?,?,?,3GL,?,?,7258
426,1,6,New_Development,?,?,?,?,?,2,1680
383,1,5,New_Development,?,?,?,?,?,?,5322
87,?,2,Enhancement,?,Yes,MF,4GL,Unix,?,387
320,1,20,New_Development,?,?,?,4GL,?,4,12180
342,?,?,Enhancement,?,Yes,Multi,3GL,?,?,2734
116,1,15,Enhancement,?,?,?,?,?,10,2630
97,1.05,4,Enhancement,Banking,?,MF,3GL,Mainframe,1,530
98,1.01,4,New_Development,Telecommunications,?,?,4GL,?,12,2876
33,?,?,Enhancement,?,Yes,Multi,3GL,?,?,270
65,1.09,4,Enhancement,Telecommunications,Yes,PC,?,Windows,?,997
88,1,3,Enhancement,?,?,?,?,?,3,760
3,?,?,Enhancement,?,?,MF,3GL,?,?,95
79,1.07,?,Enhancement,?,?,?,3GL,?,?,2817
103,?,?,Enhancement,?,?,?,3GL,?,?,4496
200,1.09,8,Enhancement,Telecommunications,?,?,4GL,?,19,8151
133,1.07,4,Enhancement,Telecommunications,?,?,3GL,?,3,334
52,1,?,Enhancement,?,?,MF,?,Unix,?,741
89,?,2.1,Enhancement,?,?,MF,3GL,Mainframe,?,508
522,?,10,New_Development,?,?,MR,3GL,Unix,?,7063
85,0.98,?,Enhancement,?,?,PC,?,Windows,?,846
65,1.12,?,Enhancement,?,?,MF,4GL,Unix,?,1142
360,?,?,Enhancement,?,Yes,Multi,3GL,?,?,9347
108,1.12,8.9,Enhancement,?,No,MF,3GL,?,2,1652
189,1,12,New_Development,?,?,?,?,?,?,5241
3,?,0.69,Enhancement,?,Yes,?,?,?,?,45
227,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1009
146,1.24,8.45,Enhancement,?,Yes,?,3GL,?,?,2446
25,1.1,1.81,Enhancement,?,Yes,?,4GL,?,?,384
790,1,5,New_Development,?,?,?,?,?,4,2909
70,0.98,?,Enhancement,?,?,?,3GL,?,?,1480
571,?,8,Enhancement,Telecommunications,?,?,3GL,?,18,8996
322,1,20,New_Development,?,?,?,4GL,?,4,7850
127,?,9.1,Enhancement,?,No,MF,3GL,Mainframe,3,2715
351,?,5.5,New_Development,?,Yes,Multi,4GL,Windows,?,1118
122,1.24,?,Enhancement,?,?,?,3GL,?,?,7991
1279,1,15,New_Development,?,?,?,?,?,8,3569
141,0.96,14.7,New_Development,?,No,MF,3GL,?,1,1600
150,?,?,Enhancement,?,Yes,Multi,4GL,?,?,2595
89,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1712
141,?,?,Enhancement,?,Yes,Multi,4GL,?,?,783
300,1,11,New_Development,?,?,?,3GL,?,6,889
106,1.03,?,Enhancement,?,?,?,?,?,?,1261
64,1.12,3.39,Enhancement,?,?,?,?,?,?,347
3,?,1.28,Enhancement,?,Yes,?,?,?,?,42
542,1,8,New_Development,?,?,?,?,?,2,2240
58,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1062
194,0.88,?,New_Development,Banking,?,MF,3GL,Mainframe,?,273
97,1.01,1,Enhancement,Telecommunications,?,?,4GL,?,?,404
86,1.17,?,Enhancement,?,?,MF,3GL,Mainframe,?,1102
56,?,4,Enhancement,?,?,MF,3GL,Mainframe,?,980
218,1,5,Enhancement,?,?,?,3GL,?,6,2250
108,1.1,?,Enhancement,?,?,?,3GL,?,?,4461
158,1.07,?,Enhancement,?,?,?,3GL,?,?,4140
16,0.95,?,Enhancement,?,?,?,3GL,?,?,2114
